id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
ERG,27974788,1913780.37,0.0,$0.03B,$0.00B,$0.03B (0.0%)
ELA,27661574,593580.94,0.0,$0.03B,$0.00B,$0.03B (0.0%)
ULT,27392280,114863.84,0.0,$0.03B,$0.00B,$0.03B (0.0%)
VIDT,27128403,1139939.75,0.0,$0.03B,$0.00B,$0.03B (0.0%)
BCN,27124616,12723.72,0.0,$0.03B,$0.00B,$0.03B (0.0%)
COTI,27050116,3653328.18,0.0,$0.03B,$0.00B,$0.03B (0.0%)
BOA,26419394,225384.75,0.0,$0.03B,$0.00B,$0.03B (0.0%)
ARRR,26028546,4114496.83,0.0,$0.03B,$0.00B,$0.03B (0.0%)
LOOM,25947804,15521805.51,0.0,$0.03B,$0.02B,$0.03B (0.0%)
IQ,25713442,3429324.76,0.0,$0.03B,$0.00B,$0.03B (0.0%)
DGTX,25653437,2134074.66,0.0,$0.03B,$0.00B,$0.03B (0.0%)
KAI2,25597032,1239621.13,0.0,$0.03B,$0.00B,$0.03B (0.0%)
NULS,25352025,5074934.87,0.0,$0.03B,$0.01B,$0.03B (0.0%)
WINK,25185368,1259433.93,0.0,$0.03B,$0.00B,$0.03B (0.0%)
VTHO,25184663,1835924.77,0.0,$0.03B,$0.00B,$0.03B (0.0%)
FUN,25046294,367081.24,0.0,$0.03B,$0.00B,$0.03B (0.0%)
MXC,25022307,1654186.56,0.0,$0.03B,$0.00B,$0.03B (0.0%)
OGN,24993136,6835835.54,0.0,$0.02B,$0.01B,$0.02B (0.0%)
FCT,24956512,406236.45,0.0,$0.02B,$0.00B,$0.02B (0.0%)
PIVX,24916919,442296.65,0.0,$0.02B,$0.00B,$0.02B (0.0%)
NWC,24563812,675536.52,0.0,$0.02B,$0.00B,$0.02B (0.0%)
GAS,24534849,10358582.8,0.0,$0.02B,$0.01B,$0.02B (0.0%)
MTL,24351794,7280528.07,0.0,$0.02B,$0.01B,$0.02B (0.0%)
MFT,23755003,5666741.44,0.0,$0.02B,$0.01B,$0.02B (0.0%)
ARPA,23622025,7771035.87,0.0,$0.02B,$0.01B,$0.02B (0.0%)
SETH,23603215,25664146.79,0.0,$0.02B,$0.03B,$0.02B (0.0%)
YCC,22673105,197523.1,0.0,$0.02B,$0.00B,$0.02B (0.0%)
RFR,22658624,108364656.24,0.0,$0.02B,$0.11B,$0.02B (0.0%)
CELR,22641553,3026310.62,0.0,$0.02B,$0.00B,$0.02B (0.0%)
SAFE2,22565825,12875.36,0.0,$0.02B,$0.00B,$0.02B (0.0%)
IGNIS,22362973,3007205.49,0.0,$0.02B,$0.00B,$0.02B (0.0%)
FLM,22299712,5877292.86,0.0,$0.02B,$0.01B,$0.02B (0.0%)
PCX,22233576,1458168.81,0.0,$0.02B,$0.00B,$0.02B (0.0%)
WXT,21964225,874627.45,0.0,$0.02B,$0.00B,$0.02B (0.0%)
INJ,21631064,10478086.19,0.0,$0.02B,$0.01B,$0.02B (0.0%)
HEZ,21311983,981035.26,0.0,$0.02B,$0.00B,$0.02B (0.0%)
RCN,21309745,232122.14,0.0,$0.02B,$0.00B,$0.02B (0.0%)
WOM,21241054,1470451.67,0.0,$0.02B,$0.00B,$0.02B (0.0%)
BLZ,20953437,3664122.92,0.0,$0.02B,$0.00B,$0.02B (0.0%)
VRSC,20952175,40639.12,0.0,$0.02B,$0.00B,$0.02B (0.0%)
BEAM,20730288,4790890.6,0.0,$0.02B,$0.00B,$0.02B (0.0%)
AKRO,20703773,5976340.37,0.0,$0.02B,$0.01B,$0.02B (0.0%)
QSP,20498708,243954.2,0.0,$0.02B,$0.00B,$0.02B (0.0%)
SALT,20438098,92984.47,0.0,$0.02B,$0.00B,$0.02B (0.0%)
MX,20312926,5286932.95,0.0,$0.02B,$0.01B,$0.02B (0.0%)
REQ,19936321,377469.08,0.0,$0.02B,$0.00B,$0.02B (0.0%)
DENT,19904881,618108.35,0.0,$0.02B,$0.00B,$0.02B (0.0%)
SWTH,19355467,203316.86,0.0,$0.02B,$0.00B,$0.02B (0.0%)
WRX,19320529,1119410.31,0.0,$0.02B,$0.00B,$0.02B (0.0%)
STMX,19244977,2027962.5,0.0,$0.02B,$0.00B,$0.02B (0.0%)
SBD2,19191872,186117007.1,0.0,$0.02B,$0.19B,$0.02B (0.0%)
CND,19155884,144332.52,0.0,$0.02B,$0.00B,$0.02B (0.0%)
FORCEPROTOCOL,19061741,2092192.77,0.0,$0.02B,$0.00B,$0.02B (0.0%)
EASY2,18808969,830506.53,0.0,$0.02B,$0.00B,$0.02B (0.0%)
COS,18781891,1547143.87,0.0,$0.02B,$0.00B,$0.02B (0.0%)
IDEX,18778220,458389.16,0.0,$0.02B,$0.00B,$0.02B (0.0%)
GBYTE,18328441,5234.43,0.0,$0.02B,$0.00B,$0.02B (0.0%)
GRS,18271267,2782425.05,0.0,$0.02B,$0.00B,$0.02B (0.0%)
OCTO,17982367,1633886.19,0.0,$0.02B,$0.00B,$0.02B (0.0%)
JEX,17916218,6716.5,0.0,$0.02B,$0.00B,$0.02B (0.0%)
NIM,17910328,1487352.81,0.0,$0.02B,$0.00B,$0.02B (0.0%)
DMG,17896050,1994430.82,0.0,$0.02B,$0.00B,$0.02B (0.0%)
EMC3,17771248,12229464.9,0.0,$0.02B,$0.01B,$0.02B (0.0%)
CRE,17212813,2499606.73,0.0,$0.02B,$0.00B,$0.02B (0.0%)
DIP,17188860,602309.23,0.0,$0.02B,$0.00B,$0.02B (0.0%)
AXEL,17171629,193965.18,0.0,$0.02B,$0.00B,$0.02B (0.0%)
RING,17097002,1537137.54,0.0,$0.02B,$0.00B,$0.02B (0.0%)
BTSE,16958765,431599.25,0.0,$0.02B,$0.00B,$0.02B (0.0%)
COMP2,16656671,6496.39,0.0,$0.02B,$0.00B,$0.02B (0.0%)
CRPT,16633331,152329.47,0.0,$0.02B,$0.00B,$0.02B (0.0%)
FSN,16413935,913701.83,0.0,$0.02B,$0.00B,$0.02B (0.0%)
DGD,16316859,224748.08,0.0,$0.02B,$0.00B,$0.02B (0.0%)
GRIN,16237443,9505522.12,0.0,$0.02B,$0.01B,$0.02B (0.0%)
MED,16113048,10257459.65,0.0,$0.02B,$0.01B,$0.02B (0.0%)
STPT,16081404,6612902.17,0.0,$0.02B,$0.01B,$0.02B (0.0%)
GUSD,15993827,2436765.83,0.0,$0.02B,$0.00B,$0.02B (0.0%)
AST,15954736,909958.33,0.0,$0.02B,$0.00B,$0.02B (0.0%)
SAI,15619434,3586.77,0.0,$0.02B,$0.00B,$0.02B (0.0%)
PLTC,15336195,158863.01,0.0,$0.02B,$0.00B,$0.02B (0.0%)
DUSK,15290212,492377.91,0.0,$0.02B,$0.00B,$0.02B (0.0%)
NAS,14628552,2750673.62,0.0,$0.01B,$0.00B,$0.01B (0.0%)
ZCN,14604874,129951.89,0.0,$0.01B,$0.00B,$0.01B (0.0%)
NKN,14318596,536061.47,0.0,$0.01B,$0.00B,$0.01B (0.0%)
CPAY,14203089,78.22,0.0,$0.01B,$0.00B,$0.01B (0.0%)
XNS,13952922,562931.43,0.0,$0.01B,$0.00B,$0.01B (0.0%)
PICKLE,13906598,1903306.26,0.0,$0.01B,$0.00B,$0.01B (0.0%)
LBC,13799466,811993.61,0.0,$0.01B,$0.00B,$0.01B (0.0%)
BOS,13724928,1507.03,0.0,$0.01B,$0.00B,$0.01B (0.0%)
POLS,13644320,1878278.09,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SHA,13517674,725948.24,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SHA,13021753,607908.14,0.0,$0.01B,$0.00B,$0.01B (0.0%)
NEX,12806162,168017.26,0.0,$0.01B,$0.00B,$0.01B (0.0%)
